Document Number,Sl_no,Question,Question_Type
1,1,Who is the author of this strategy execution plan?,Factual
1,2,"What is the goal of this strategy, and what are its targets for additional users in Nigeria by 2020?",Analytical
1,3,What do you think will happen if the Bill & Melinda Gates Foundation stops working with Oyo state?,Inference
1,4,What are some of the key points that BMGF is currently working across in Nigeria and other high-potential countries to achieve its goal of 7 million additional users by 2020?,Summary
1,5,What kind of political commitment is required for the NURHI project in Nigeria?,Explanations
1,6,"How can some high-potential states be selected with the help of a Venn diagram, and what are the criteria used to select BMGF demonstration states in this case?",Analytical
1,7,What would happen if Nigeria fulfills its FP2020 commitments by 2019 as stated in the infographic titled 'Scale tactic'?,Inference
1,8,What do you think will happen if the BMGF is not consistent and proactive in all Nigeria messaging to maintain the high level call to action supporting both the National FP Strategy and building PHC systems to achieve universal access?,Inference
1,9,What are some of the key strategies that BMGF is currently working with in Nigeria?,Summary
1,10,"How would you compare and contrast the roles of the FMOH and other stakeholders in achieving the goal for additional users by 2020, as discussed under 'Stakeholder Alignment'?",Comparison
1,11,"What could be some of the reasons why Nigeria does not meet its goal for the expected number of additional users in 2016 and beyond, according to the infographic titled 'Key risks & issues'?",Inference
1,12,How could the BMGF be involved in addressing a high level risk for not using contraception in Nigeria as discussed under 'Key Risks and Issues'?,Application
1,13,"What are some of the key reasons why donors may question the commitment of the BMGF to its goal, according to the infographic titled 'Key risks & issues'?",Explanations
1,14,How could the NURHI project in Nigeria reach a high level of confidence for addressing unmet needs as mentioned under the section 'Where we feel confident'?,Application
1,15,"What are some key reasons why the NURHI project is likely to succeed, according to the section 'Where we feel confident'?",Summary
1,16,How do you think some of the factors in the table of contents of this strategy execution plan could be applied to real world problems?,Application
1,17,What would happen if the NURHI project is not able to scale up in Nigeria as stated in the 'Key Risks and Issues' infographic,Inference
1,18,How do you compare and contrast the two sections 'What we have concerns' and 'Where we feel confident' in the infographic titled 'Nigerian Urban Reproductive Health Initiative'?,Comparison
1,19,"What are some reasons that could make some of the at-risk individuals mentioned under 'Scale Tactic' not to use contraception, and what could be done about it?",Application
1,20,How do you think the BMGF could strengthen its strategy in Nigeria with the help of a strategic evaluation chart for addressing national challenges as shown under 'Strategy to Address Youth: Nigeria'?,Inference
2,1,Why is it necessary for the World Health Assembly to track progress for global nutrition targets in a country like India?,Summary
2,2,"What was the main purpose of the Global Nutrition Report that was published by IFPRI in 2014 and again in 2015, as stated in the context?",Factual
2,3,How many years did it take for the World Health Assembly to track progress in the national context after they endorsed a set of global nutrition targets?,Factual
2,4,"What was the name given by the Global Nutrition Report to document levels and trends in these targets for several countries, as stated in the context?",Factual
2,5,"What were the two main goals of the National Family Health Surveys (NHFS) based on health that have been conducted in India since 1992, as stated in the context?",Summary
2,6,"Who was responsible for performing a review of the surveys to see if they were using the same measures as those globally, according to the context?",Factual
2,7,"What is the purpose of the Global Nutrition Report, as stated in the context?",Summary
2,8,"How long did it take for a report from the survey to come out, according to the context?",Factual
2,9,"What type of surveys have been conducted in India by the National Family Health Survey (NFHS) program for more than 9 years, as stated in the context?",Factual
2,10,"Which of the six surveyed surveys have complete summary reports available, as stated in the context?",Summary
2,11,"For how many years has the annual Health Survey (AHS) been conducted in India, according to the context?",Factual
2,12,"What is the name given to the report that was published by IFPRI in 2014 and again in 2015, as stated in the context?",Factual
2,13,"How many years is the average length of time between the NHFS and HDS, according to the context?",Factual
2,14,"What is the name given by the World Health Assembly to a set of global nutrition targets that must be tracked in the national context, as stated in the context?",Summary
2,15,"Which two surveys have complete summary reports available for all of their data sets and are in public domain, as stated in the context?",Factual
2,16,"What is the name given by IFPRI to a set of global nutrition targets that must be tracked in the national context, as stated in the context?",Summary
2,17,"What are the two main goals of the District Level Family Health Surveys (DHLHS) that have been conducted by the National Sample Survey Organisation, as stated in the context?",Factual
2,18,"What is the name given to a set of global nutrition targets that must be tracked in the national context by the World Health Assembly, as stated in the context?",Factual
2,19,"How long did it take for a report to come out from the Annual Health Survey (AHS), as stated in the context?",Factual
2,20,"Which of the six surveyed surveys generated data at the district level, as stated in the context?",Factual
3,1,How many global nutrition targets does the National Family Health Survey (NHFS) 3 and Rapid Survey on Children (RSCO) provide data on for the greatest number of states?,Factual
3,2,"What is the maximum time period between two rounds of the same survey in terms of years, as per the context?",Factual
3,3,How many indicators are included in the National Family Health Survey (NHS) 4 compared to the latest available round of the National Sample Survey Organisation (NSSO)?,Comparative
3,4,"What is the maximum time gap between two rounds of the same survey, as per the context?",Factual
3,5,How many surveys are included in this assessment to track the progress towards the global nutrition targets for children? Are all of them conducted by the same agency?,Comparative
3,6,"What is the common reference age group used across most of the recent rounds of surveys, as per the context?",Factual
3,7,Why does a single survey that consistently collects data for all six global nutrition targets on a regular basis over time not exist in India?,Inference
3,8,"What is the most comprehensive survey on nutrition available in the country, as per the context?",Factual
3,9,"What is the minimum number of years required for the DHS to generate data at the district level? What is the minimum time gap between two rounds of the same survey, as per the context?",Comparative
3,10,How many nutrition targets have been adopted by the World Health Assembly and included in the Global Nutrition Report 2014-2015 for India? What are those targets?,Factual
3,11,"What is the main challenge faced in tracking the progress of a country's data on global nutrition targets over time, as per the context?",Inference
3,12,"What are some of the reasons why a single survey that consistently collects data for all six global nutrition targets does not exist in India, as suggested by the research team? What is the most comprehensive survey on nutrition available in the country, as per the context?",Inference
3,13,"What are some of the reasons why a single survey that consistently collects data for all six global nutrition targets does not exist in India? How many surveys have been conducted more than once, according to the research team? Which agency has conducted these surveys?",Inference
3,14,How is the information regarding the geographical scope of the recent rounds of surveys provided by the NHS 3 and HDS compared in the context?,Comparative
3,15,"What are some of the challenges faced in tracking the progress of a country's data on global nutrition targets over time? Why does a single survey that consistently collects data for all six global nutrition targets not exist in India, as suggested by the research team?",Inference
3,16,"What is the reference group used to measure whether children under five years of age have height-for-age z-scores < -2 standard deviations of the World Health Organization's (WHO) child growth standards median, as per the context?",Factual
3,17,"Why did the National Family Health Survey 3 and HDS provide data on the greatest number of states, as per the context?",Factual
3,18,"What are some of the challenges faced in tracking the progress of a country's data on global nutrition targets over time? Why does a single survey that consistently collects data for all six global nutrition targets not exist in India, as suggested by the research team?",Inference
3,19,"What is the purpose of the National Family Health Survey (NHS) 4 in terms of providing data on the geographical scope of the surveys, as per the context?",Factual
3,20,"Why did the National Family Health Survey (NHS) 3 and HDS provide data on the greatest number of states, as per the context? What is the maximum time gap between two rounds of the same survey, as per the context?",Inference
4,1,What is the main objective of the World Health Assembly of which India is a member?,Factual
4,2,What set of nutrition outcomes have significant impact on short- and long-term human development outcomes?,Factual
4,3,What are the six major nutrition surveys included in the assessment to track progress towards global nutrition targets in India by the team from POSHAN?,Factual
4,4,How many years does it take for the NHS 2 and DHS 4 to generate data? Who generates data for these two surveys?,Analytical
4,5,What are the major geographic criteria that the team from POSHAN assessed to determine if a survey's estimates could be derived?,Factual
4,6,"How many of the six surveys reviewed generated data at the district level? Which surveys generated complete summary factsheets and datasets, and which ones did not generate any report with documentation and data sets publicly available?",Analytical
4,7,What is the minimum number of years required to understand the current nutritional status of India at the national and state levels based on a single survey? Which two surveys provide the most recent data for the greatest number of states?,Factual
4,8,"What are the four, five, and six targets that are included in the major surveys reviewed by the team from POSHAN to track progress towards global nutrition targets? Which survey provides a complete summary report for all indicators for the most recent data?",Summary
4,9,Why is it important to understand the current nutritional status of India at the national and state levels? What does this information tell us about the level of development outcomes?,Factual
