Document Number,Sl_no,Question,Question_type
1,8,What do you think will happen if the BMGF is not consistent and proactive in all Nigeria messaging to maintain the high level call to action supporting both the National FP Strategy and building PHC systems to achieve universal access?,Inference
1,10,"How would you compare and contrast the roles of the FMOH and other stakeholders in achieving the goal for additional users by 2020, as discussed under 'Stakeholder Alignment'?",Comparison
1,19,"What are some reasons that could make some of the at-risk individuals mentioned under 'Scale Tactic' not to use contraception, and what could be done about it?",Application
2,1,Why is it necessary for the World Health Assembly to track progress for global nutrition targets in a country like India?,Summary
2,11,Why is it necessary for the World Health Assembly to track its global nutrition targets in the same manner across all countries? What does this require?,Analytical
2,14,Why are some countries' progress in meeting the global nutrition targets over time not easily determined? What is one reason given by the team from POSHAN to explain this challenge?,Summary
3,7,Why does a single survey that consistently collects data for all six global nutrition targets on a regular basis over time not exist in India?,Inference
3,13,"What are some of the reasons why a single survey that consistently collects data for all six global nutrition targets does not exist in India? How many surveys have been conducted more than once, according to the research team? Which agency has conducted these surveys?",Inference
3,15,"What are some of the challenges faced in tracking the progress of a country's data on global nutrition targets over time? Why does a single survey that consistently collects data for all six global nutrition targets not exist in India, as suggested by the research team?",Inference
4,9,Why is it important to understand the current nutritional status of India at the national and state levels? What does this information tell us about the level of development outcomes?,Factual
4,14,Why are some countries' progress in meeting the global nutrition targets over time not easily determined? What is one reason given by the team from POSHAN to explain this challenge?,Summary
4,19,What are the six major surveys reviewed by the team from POSHAN to track progress towards global nutrition targets in India? What is one reason given for the challenge of comparing the existing data on levels and trends in nutrition that the team from POSHAN reviewed among these six surveys?,Summary
5,5,What are the key challenges that Rhoda Au is facing with regards to data sharing from her study?,Analytical
5,9,Why are some researchers resistant to sharing their data? What do funders at NIA and NHBLI say about this?,Analytical
5,12,"What kind of data do researchers face challenges with setting up in East Asia, particularly when they want to recruit patients for studies or trials? How do you see additional opportunities for external partnerships with academic studies and patient groups evolving in the near future?",Inference
6,5,Why are some researchers resistant to sharing data from the Framingham Heart Study? Who funds it at NIA and NHBLI?,Inference
6,11,"How can Segerter's system be used to identify patients with a risk for, or who have not yet been diagnosed with a disease? What are some ethical concerns involved with this use of the technology?",Inference
6,13,Why do you think the field of Dementia is challenged in agreeing on one gold standard cognitive test? How does this impact DCTClock and Segerter's work?,Inference
7,7,How can BMGF adapt its operations and capabilities to take full advantage of opportunities for engaging the private sector in pursuit of programmatic needs?,Application
7,8,What are some key external barriers that prevent private sector participation in GH? What is the primary motivation behind this reluctance to participate?,Analytical
7,14,"What are some key external factors that might require more time, effort, or investment to overcome when pursuing a 'shaping the environment' model?",Analysis
8,7,What are some ways that a lack of leadership by a senior management team can impact an organization? Why is this so?,Explanation
8,11,How does ACHAP's current implementation and development functions differ from the proposed new arrangement of having a separate director for each? What are some benefits or drawbacks with this change?,Explanation
8,13,How can ACHAP ensure a smooth transition to its new organizational structure? What are some steps that could be taken to facilitate this process?,Application
9,4,"How does Bayer currently prioritize its market focus areas, particularly with regard to women's needs and demands?",Analytical
9,5,What are the current main areas of focus in terms of R&D by BCG as told to Tobias Ludwig in January 2019?,Analytical
9,9,In which areas has BCG recently observed a change in women's needs and demands according to Tobias Ludwig?,Summary
10,1,What is Bristol-Myers Squibb's current focus as it continues to develop a more biopharmaceutical business?,Inference
10,6,What is the main driver of Bristol-Myers Squibb's new drug growth pipeline according to its CEO Lambert Andreotti?,Inference
10,12,According to what does CEO Lambert Andreotti call his strategy going forward?,Inference
11,1,What is one of the key reasons why Senegal's sanitation status is more advanced than that in most developing countries?,Inference
11,6,What was one of the main reasons why the government initiated a broad range of reforms to revitalize progress in the water and sanitation sector?,Inference
11,18,What is one of the main reasons why the government decided to look for alternative solutions for extending sewerage facilities in Dakar?,Inference
12,7,What was the main goal of the transformation pathway,Analytical
12,11,"What were the top five countries that have made step-charge gains in WEE outcomes, and what was the main driver of progress?",Analytical
12,12,What is a transformation diagnostic for a country/region?,Summary
13,2,In which countries was the data used to understand the trend of reducing legal hurdles that impede women's employment opportunities in Sub-Asia and South Asia?,Analytical
13,9,The infographic suggests that maternity leave in SSA and India has a different percentage. How much does the percentage differ from the one mentioned for the SSA region as a whole? Why might there be this difference?,Analytical
13,13,"According to the infographic, what percentage of older women in South Asia receive pensions? Is this better than or worse than their counterparts in Europe and Central Asia? How does this compare to the situation in other regions?",Analytical
14,4,What does the document suggest about the relationship between unpaid care work and women's economic empowerment?,Analysis
14,11,"What is the main message in the infographic titled ""WOMEN'S WORK IS GENERALLY MORE VULNERABLE AND LESS LUCRATIVE THAN MEN'S.""\nWhat are some potential causes for the challenges faced by women? What can be done to address these issues?",Explanation
